"","player_name","player_height_inches","player_weight","raptor_offense","raptor_defense","raptor_total","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FG2_pct","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"1","Aaron Gordon",80,235,0.467081669562564,-0.456370925933087,0.0107107436294762,6.6,12.6,0.52,1.3,3.9,0.335,5.3,8.7,0.605,2.6,3.5,0.743,1.9,4.8,6.7,2.8,0.7,0.7,2,2.2,17.1
"2","Aaron Wiggins",76,190,-1.81458479820945,-1.62058052910572,-3.43516532731517,4.6,10,0.463,1.3,4.1,0.304,3.4,5.9,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4
"3","Admiral Schofield",77,241,-3.17750243247832,-0.958183184706559,-4.13568561718488,4.1,9.9,0.419,2,6.1,0.329,2.1,3.8,0.56,0.9,1.2,0.8,1.3,5.5,6.8,1.9,0.3,0.4,1.6,4.5,11.2
"4","Aleksej Pokusevski",84,190,-2.89556425044952,-0.130990137383006,-3.02655438783253,5.4,13.3,0.408,1.7,5.8,0.289,3.8,7.6,0.498,1,1.5,0.7,2.1,7.2,9.3,3.8,1.1,1.1,2.7,2.6,13.5
"5","Alex Len",84,250,-4.09395357580904,-1.32155001314157,-5.41550358895062,5.5,10.2,0.534,0.3,1.2,0.286,5.1,9,0.568,2.4,3.7,0.651,3,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6
"6","Alfonzo McKinnie",79,215,-3.42859158132813,-8.07601249550692,-11.5046040768351,4.2,10.7,0.393,1.6,4.7,0.333,2.6,5.9,0.441,0.3,1.4,0.25,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3
"7","Alize Johnson",80,212,-2.67541248002304,-6.38213522991174,-9.05754770993478,3.7,8.4,0.436,0,0.9,0,3.7,7.5,0.486,1.5,2.6,0.583,6,7.1,13.1,1.9,1.1,0,2.6,3.9,8.8
"8","Andre Iguodala",78,215,-0.404504793930042,5.24764828061054,4.8431434866805,2.7,7.2,0.38,1,4.4,0.23,1.7,2.8,0.617,0.9,1.2,0.75,1.3,4.7,6,6.8,1.6,1.3,1.7,2,7.4
"9","Andrew Wiggins",79,197,-0.215346058004749,1.81578397905629,1.60043792105154,7.3,15.8,0.466,2.4,6.2,0.393,4.9,9.6,0.513,2.3,3.6,0.634,1.3,3.7,5,2.5,1.2,0.8,1.7,2.4,19.4
"10","Anthony Gill",79,230,0.41952389846168,-0.758417510039157,-0.338893611577477,4.8,8.5,0.569,1.1,2,0.538,3.7,6.5,0.578,3.3,4,0.808,2.6,4,6.6,2.1,0.4,0.9,1.4,4.5,14
"11","Bam Adebayo",81,255,-0.334639522837876,4.20033371369012,3.86569419085225,8,14.4,0.557,0,0.1,0,8,14.3,0.562,5,6.7,0.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
"12","Ben McLemore",75,195,-1.62433248764401,-3.31078843188563,-4.93512091952964,6.1,15.1,0.401,4.2,11.7,0.362,1.8,3.4,0.533,2,2.5,0.818,0.3,2.5,2.9,1.7,1.1,0.3,1.5,2.9,18.4
"13","Bobby Portis",82,250,0.773725606362625,1.00140186626638,1.775127472629,7.4,15.5,0.479,2.4,6,0.393,5,9.5,0.533,1.5,2,0.752,3.2,8.5,11.7,1.5,0.9,0.9,1.6,3.1,18.7
"14","Bones Hyland",74,169,2.39078021969653,-1.34977929417033,1.0410009255262,6.3,15.7,0.403,3.6,9.8,0.366,2.7,5.9,0.465,2.9,3.4,0.856,0.4,4.8,5.2,5.2,1.1,0.5,2.4,4.2,19.2
"15","Brad Wanamaker",75,210,-3.32264671499726,-2.38227359760506,-5.70492031260232,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
"16","Bradley Beal",76,207,1.08443544355524,0.712008097137407,1.79644354069264,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
"17","Brandon Goodwin",72,180,-1.69619836905963,-0.0612893105204922,-1.75748767958012,4.6,11,0.416,1.4,3.9,0.345,3.2,7.1,0.455,1.7,2.7,0.632,1,3.8,4.8,6.5,1.8,0.1,2.6,2.8,12.3
"18","Brandon Ingram",80,190,1.18376851117256,-1.35372024053185,-0.169951729359292,8.7,18.9,0.461,1.4,4.4,0.327,7.3,14.6,0.501,5.1,6.2,0.826,0.7,5.5,6.2,5.9,0.7,0.5,2.9,2.3,24
"19","Brandon Knight",74,182,-1.58547521542188,-0.239452768262588,-1.82492798368447,5.5,13.8,0.4,2.2,9.4,0.235,3.3,4.4,0.75,4.4,4.4,1,0,4.4,4.4,4.4,0.6,0,2.2,2.8,17.7
"20","Brandon Williams",74,190,-2.82956406647378,-1.82201061130139,-4.65157467777517,5.9,15.9,0.372,1.7,6,0.292,4.2,9.9,0.42,3.8,5.5,0.701,1.1,3.1,4.2,5.3,1.4,0.6,3.3,2.9,17.4
"21","Braxton Key",80,225,-2.83196469627894,5.38822085790503,2.5562561616261,6,13.2,0.458,1.1,3.8,0.286,4.9,9.3,0.529,1.3,2.4,0.538,2.4,6.8,9.1,2,1.8,2,2,4.8,14.4
"22","Brodric Thomas",77,185,0.740595127946028,-3.59854952530739,-2.85795439736136,4.8,10.8,0.444,1.2,5.4,0.222,3.6,5.4,0.667,1.8,3,0.6,1.2,4.8,6,6.6,0.6,0.6,3.6,4.2,12.6
"23","Brook Lopez",84,282,-2.05607586695048,3.92052715789827,1.86445129094779,7.4,15.8,0.466,2.3,6.4,0.358,5.1,9.4,0.538,2.4,2.8,0.87,2.3,4.1,6.4,0.7,1,1.8,1.4,4.1,19.4
"24","CJ McCollum",75,190,3.29801951480315,-0.930594105121981,2.36742540968117,9,19.5,0.46,3.1,7.9,0.388,5.9,11.7,0.509,1.9,2.9,0.682,0.9,3.6,4.5,5.3,1.2,0.4,2.1,2,23
"25","Caleb Martin",77,205,0.0047459833632966,2.37417349540712,2.37891947877042,5.5,10.8,0.507,1.7,4.1,0.413,3.8,6.7,0.565,1.9,2.4,0.763,1.8,4.2,6,1.7,1.5,0.8,1.4,2.7,14.5
"26","Cam Thomas",75,210,-1.73209653510429,-2.58482594418142,-4.31692247928572,6.7,15.4,0.433,1.4,5.3,0.27,5.2,10.1,0.52,2.7,3.2,0.829,0.5,4.4,4.9,2.4,1,0.2,1.7,2,17.4
"27","Cameron Johnson",80,210,0.948990295892678,2.0577800771121,3.00677037300478,5.8,12.6,0.46,3.5,8.1,0.425,2.4,4.5,0.523,2,2.4,0.86,0.9,4.8,5.7,2.1,1.2,0.3,1,2.4,17.1
"28","Cameron McGriff",79,220,6.20020845083239,-3.80410990542683,2.39609854540556,3.9,11,0.357,1.6,4.7,0.333,2.3,6.3,0.375,1.6,1.6,1,4.7,7,11.7,2.3,0,0.8,0,5.5,11
"29","Cameron Oliver",80,239,2.21520091599831,-4.76872323081656,-2.55352231481826,8.4,12.6,0.667,0.8,2.5,0.333,7.5,10,0.75,1.7,2.5,0.667,1.7,3.3,5,2.5,0.8,0.8,0,4.2,19.3
"30","Cameron Payne",73,183,-0.0730952319937627,0.939316030179919,0.866220798186157,6.8,16.5,0.409,2,5.9,0.336,4.8,10.6,0.449,2.1,2.5,0.843,0.7,4.3,4.9,7.9,1.1,0.5,2.9,3.4,17.6
"31","Caris LeVert",78,205,0.978473696965108,-1.84933794438009,-0.870864247414982,7.7,17.3,0.444,1.7,5.2,0.32,6,12.1,0.497,3,3.9,0.756,0.9,3.5,4.3,5,1,0.5,2.2,2.6,19.9
"32","Carlik Jones",72,174,-13.1526948066814,4.69647094773291,-8.45622385894852,1.6,14.1,0.111,0,1.6,0,1.6,12.5,0.125,3.1,3.1,1,1.6,3.1,4.7,7.8,1.6,0,4.7,0,6.3
"33","Carmelo Anthony",79,238,0.11041727246612,-1.8657219583161,-1.75530468584998,6.4,14.5,0.441,3,8,0.375,3.4,6.5,0.521,2.7,3.2,0.83,1.2,4.5,5.8,1.4,0.9,1,1.2,3.3,18.5
"34","Cassius Winston",73,185,-2.7367149283905,-3.68742513059777,-6.42414005898827,3.7,10.2,0.364,1.8,5.5,0.333,1.8,4.6,0.4,3.7,3.7,1,0,0.9,0.9,6.5,0,0,2.8,8.3,12.9
"35","Cedi Osman",79,230,-0.660389208310416,-1.28356262300992,-1.94395183132034,6.1,14.1,0.432,3.2,8.8,0.357,2.9,5.2,0.559,2.1,3.2,0.664,0.6,3,3.6,3.3,1.3,0.2,1.6,3.1,17.5
"36","Charles Bassey",81,230,-2.46864382258793,2.65023054267887,0.181586720090936,6.4,10.1,0.638,0,0.9,0,6.4,9.2,0.698,1.9,2.6,0.75,4.7,8.6,13.3,1.5,1.1,3.6,1.7,6.9,14.8
"37","Chris Paul",72,175,4.41839990984512,-0.317061819940851,4.10133808990427,6.1,12.4,0.493,1.1,3.3,0.317,5,9,0.559,2.8,3.4,0.837,0.4,4.4,4.8,11.8,2,0.3,2.6,2.3,16.1
"38","Christian Wood",81,214,-0.778040110509276,-1.32740202851952,-2.1054421390288,7.6,15.1,0.501,2.3,5.8,0.39,5.3,9.3,0.57,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9
"39","Chuma Okeke",78,229,-3.58231377185255,0.927948713366547,-2.654365058486,4.4,11.8,0.376,2.4,7.6,0.318,2,4.2,0.48,1.1,1.3,0.846,1,6.2,7.1,2.4,2,0.9,1.2,2,12.5
"40","Coby White",76,195,0.637648979566151,-2.34790817422938,-1.71025919466323,6,13.8,0.433,2.9,7.6,0.385,3.1,6.3,0.491,1.7,2,0.857,0.4,3.5,3.9,3.8,0.6,0.2,1.5,2.9,16.6
"41","Cody Martin",78,205,0.317367244028911,1.03677366998743,1.35414091401634,3.9,8.2,0.482,1.2,3.1,0.384,2.8,5.1,0.542,1.4,2.1,0.701,1.6,3.9,5.5,3.5,1.7,0.6,1.2,2.2,10.5
"42","Cody Zeller",83,240,-0.255822282716726,-3.29863664701953,-3.55445892973626,5.2,9.1,0.567,0,0.4,0,5.2,8.7,0.593,3.9,5,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
"43","Cole Anthony",75,185,-0.0514484874086768,-1.84733991651875,-1.89878840392742,6.2,15.9,0.391,2.3,6.8,0.338,3.9,9.1,0.432,3.8,4.4,0.854,0.6,5.5,6.1,6.5,0.8,0.3,3,3,18.6
"44","Collin Sexton",73,190,-2.88333470834168,-0.316563490172052,-3.19989819851374,7.7,17.2,0.45,1.3,5.1,0.244,6.5,12.1,0.538,3.3,4.4,0.744,1.5,2.6,4.1,2.6,1.1,0,3.5,2.8,20.1
"45","Corey Kispert",78,224,0.0451617193188177,-2.09879931791848,-2.05363759859967,4.7,10.3,0.455,2.2,6.4,0.35,2.4,3.9,0.629,1.1,1.2,0.871,1.1,3.1,4.2,1.7,0.7,0.4,1,1.9,12.7
"46","Cory Joseph",75,200,-0.384883988788836,0.0416535520826753,-0.34323043670616,4,9,0.445,1.5,3.5,0.414,2.5,5.5,0.465,2.3,2.5,0.885,0.7,3.3,3.9,5.3,0.9,0.4,1.9,3.3,11.7
"47","D.J. Augustin",71,183,-1.53222410014479,-5.75604766182543,-7.28827176197022,3.8,9.1,0.423,2.8,6.7,0.415,1.1,2.4,0.448,1.5,1.8,0.884,0.4,2.3,2.8,4.4,0.7,0,2.3,1.6,12
"48","D.J. Wilson",82,231,1.36016824696613,-0.532312239342516,0.82785600762361,7.3,10,0.733,0,1.3,0,7.3,8.7,0.846,5.3,6.7,0.8,0.7,10,10.7,3.3,3.3,0.7,1.3,4,20
"49","Dalano Banton",79,204,-2.9393286921628,0.223889484944549,-2.71543920721825,4.3,10.4,0.411,0.7,2.6,0.255,3.6,7.8,0.464,1.3,2.3,0.591,2,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
"50","Damian Jones",83,245,-0.983801756486044,-1.34688713910141,-2.33068889558746,6.2,9.4,0.658,0.4,1,0.345,5.8,8.4,0.696,3.3,4.6,0.718,2.7,6.1,8.7,2.4,0.9,1.7,2.1,4.6,16.1
"51","Damian Lillard",74,195,4.25676904397129,-1.525217987788,2.73155105618329,7.6,18.8,0.402,3.1,9.7,0.324,4.4,9.1,0.485,5.4,6.2,0.878,0.4,3.6,4.1,7.2,0.6,0.4,2.8,1.3,23.7
"52","Damion Lee",77,210,-2.18330534582906,-0.212378021350967,-2.39568336718003,4.8,11,0.441,1.8,5.4,0.337,3,5.6,0.541,1.9,2.1,0.88,0.8,5,5.8,1.8,1.1,0.2,1.1,2.7,13.4
"53","Daniel Gafford",81,234,0.386095753318333,-0.628429150726461,-0.242333397408128,7.1,10.2,0.693,0,0,0,7.1,10.2,0.695,2.7,3.8,0.699,3.9,6.3,10.1,1.7,0.7,2.5,1.6,4.2,16.9
"54","Daniel Oturu",80,240,-3.72732801610519,-5.52385896035166,-9.25118697645686,4,8,0.5,0,1.3,0,4,6.7,0.6,4,6.7,0.6,1.3,5.3,6.7,0,0,2.7,0,1.3,12
"55","Daniel Theis",81,245,-3.58708450174436,0.154300349306096,-3.43278415243826,5.6,10.7,0.519,1.2,3.9,0.308,4.3,6.8,0.641,1.8,2.7,0.681,2.2,6.2,8.4,1.5,0.7,1.1,1.7,4.1,14.1
"56","Danilo Gallinari",82,236,1.19098742652453,-2.03631003460659,-0.845322608082061,5.6,12.9,0.434,2.4,6.3,0.381,3.2,6.5,0.485,3,3.4,0.904,0.8,5.9,6.6,2.2,0.6,0.3,0.8,2,16.6
"57","Darius Bazley",80,208,-3.648333876702,-0.748259932034863,-4.39659380873687,5.1,12.1,0.422,1.5,5,0.297,3.6,7.1,0.511,2.2,3.2,0.688,1.3,6.8,8.2,1.8,1.1,1.3,1.7,1.3,13.9
"58","Darius Garland",73,192,4.79885477814603,-0.201863990305623,4.59699078784041,8,17.4,0.462,2.6,6.7,0.383,5.5,10.7,0.512,3.2,3.6,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.7,1.7,21.8
"59","Dean Wade",81,228,-1.1485951531164,1.71472712952006,0.56613197640365,3.6,8,0.456,1.9,5.2,0.359,1.8,2.8,0.64,0.7,1.1,0.667,1.1,4.4,5.5,1.9,1.1,0.3,0.6,3.2,9.9
"60","Deandre Ayton",83,250,-0.641570740191522,1.24462156030843,0.603050820116906,9.3,14.6,0.634,0.1,0.4,0.368,9.1,14.2,0.642,2.2,3,0.746,3.1,9.3,12.5,1.8,0.8,0.8,1.9,3,21
"61","Delon Wright",77,185,-0.809675659077655,2.64647364390453,1.83679798482688,3,6.7,0.454,1.1,2.9,0.379,1.9,3.8,0.51,1.3,1.6,0.857,1.2,4.2,5.5,4.7,2.3,0.5,1.1,1.4,8.5
"62","Deni Avdija",81,210,-0.945957956863636,1.98349596961039,1.03753801274676,4.5,10.5,0.432,1.5,4.7,0.317,3,5.8,0.525,1.9,2.5,0.757,0.9,6.8,7.7,3,1.1,0.8,1.6,3.4,12.4
"63","Derrick Jones Jr.",78,210,-0.291700175733224,0.638334624158507,0.346634448425284,4.2,7.8,0.538,0.8,2.4,0.328,3.4,5.4,0.634,2.2,2.8,0.8,2.4,4.4,6.8,1.2,1,1.3,1.2,4.2,11.5
"64","Derrick White",76,190,0.826929498961808,3.0272457871378,3.8541752860996,5.5,13.1,0.421,1.9,6,0.312,3.6,7.1,0.515,3.3,3.8,0.864,0.6,3.7,4.3,6,1,0.9,1.9,2.8,16.2
"65","Desmond Bane",77,215,2.71749187441256,0.64845420581565,3.36594608022821,8.1,17.5,0.461,3.6,8.3,0.436,4.4,9.2,0.484,2.2,2.5,0.903,0.7,4.6,5.3,3.3,1.5,0.5,1.8,3.1,22
"66","Devin Vassell",77,200,-0.245548677956419,-0.518333137679454,-0.763881815635873,6.1,14.2,0.427,2.5,7.1,0.361,3.5,7.1,0.492,1.5,1.8,0.838,0.8,4.9,5.7,2.5,1.4,0.8,1.1,2.7,16.2
"67","Didi Louzada",77,188,-7.03583874120093,-2.8883047443802,-9.92414348558113,3.3,9.2,0.364,2.5,6.4,0.391,0.8,2.8,0.3,0.6,0.6,1,1.4,3.3,4.7,1.4,0.6,0.6,1.4,3.6,9.8
"68","Domantas Sabonis",83,240,1.37571939344365,2.18432869171344,3.56004808515709,7.5,13,0.573,0.7,2.1,0.312,6.8,10.9,0.623,4.1,5.6,0.741,3.4,9.3,12.7,5.4,1,0.5,3.3,3.4,19.7
"69","Doug McDermott",79,225,-0.108773903228198,-4.49807387707217,-4.60684778030036,6.3,13.7,0.462,3.2,7.5,0.422,3.1,6.2,0.512,1.2,1.5,0.784,0.5,2.9,3.4,1.9,0.4,0.2,1.3,2.3,17
"70","Duane Washington Jr.",75,197,-0.985375533247294,-1.82437879626357,-2.80975432951086,6.4,15.9,0.405,3,8,0.377,3.4,7.9,0.434,1.7,2.3,0.754,0.1,2.9,3.1,3.2,1,0.1,2.1,2.5,17.6
"71","Dwight Powell",82,240,0.155413733077318,-0.652880149995176,-0.497466416917858,5.4,8,0.671,0.3,0.7,0.351,5.1,7.3,0.703,3.3,4.2,0.783,3.5,4.6,8.1,1.9,0.7,0.8,1.3,4.4,14.4
"72","Dylan Windler",78,196,-1.8931532053466,1.3644713863511,-0.528681818995507,2.9,7.7,0.378,1.6,5.5,0.3,1.3,2.2,0.571,1.2,1.4,0.833,1.6,5.3,7,2.7,1.1,0.2,1.3,3.7,8.6
"73","Elfrid Payton",75,195,-5.75813432579558,0.645242687549442,-5.11289163824614,4.4,11.5,0.383,0.3,1.2,0.222,4.1,10.3,0.401,0.8,2.1,0.375,1.4,4.4,5.8,6.5,1.6,0.4,3.1,2.5,9.8
"74","Enes Freedom",82,250,-0.950816917281368,2.35274456722682,1.40192764994546,4.5,8.5,0.526,0.2,0.4,0.4,4.3,8.1,0.533,2.1,2.5,0.857,5.3,8.7,14,0.7,0.4,1.2,1.8,3.7,11.2
"75","Eric Gordon",75,215,0.067890633398182,-2.61721852735242,-2.54932789395424,5.8,12.2,0.475,2.7,6.5,0.412,3.1,5.7,0.548,2.3,2.9,0.778,0.3,2.1,2.4,3.3,0.6,0.4,2.3,1.4,16.5
"76","Eric Paschall",78,255,0.205097765091564,-2.87865466774829,-2.67355690265672,5.6,11.5,0.485,2,5.3,0.37,3.6,6.2,0.583,3.2,4.2,0.767,1.5,3.7,5.2,1.8,0.4,0.2,1.3,2.5,16.3
"77","Eugene Omoruyi",78,235,-0.785352081183748,-4.63791124729304,-5.42326332847679,4,10,0.4,2,4,0.5,2,6,0.333,4,8,0.5,4,10,14,4,0,0,0,4,14
"78","Frank Jackson",75,205,-1.52492266938991,-2.42225068011967,-3.94717334950958,6,14.9,0.402,2.7,8.6,0.308,3.3,6.3,0.529,2.7,3.2,0.827,0.6,2.1,2.7,1.7,0.8,0.3,1.2,2.8,17.3
"79","Frank Kaminsky",84,240,-2.29575478281096,8.94963495720463,6.65388017439367,7.2,13.1,0.545,1,3,0.333,6.2,10.1,0.608,3.6,4,0.9,2.2,6,8.2,2.6,1.6,1.4,1,2.8,18.9
"80","Franz Wagner",82,220,0.489727102188182,0.748096314190761,1.23782341637894,6.8,14.5,0.468,1.4,4,0.354,5.3,10.4,0.511,2.8,3.2,0.863,1.2,4,5.3,3.4,1,0.5,1.8,2.4,17.7
"81","Fred VanVleet",73,197,3.47614274293481,1.54896542357652,5.02510816651133,6.5,16,0.403,3.5,9.4,0.377,2.9,6.7,0.44,2.8,3.2,0.874,0.6,3.6,4.2,6.3,1.6,0.5,2.5,2.4,19.3
"82","Freddie Gillespie",81,245,-6.34354636708232,3.11319831181267,-3.23034805526965,2.7,6.7,0.409,0,0.3,0,2.7,6.4,0.429,0.9,2.1,0.429,3.9,7,10.9,1.5,0.9,2.7,1.5,5.4,6.4
"83","Furkan Korkmaz",79,202,-1.12282037672778,-0.889267498480181,-2.01208787520796,4.6,12,0.387,2,6.8,0.289,2.7,5.2,0.515,1.7,2.1,0.81,0.6,3.9,4.5,3.2,0.8,0.2,1.2,1.5,13
"84","Gabe Vincent",75,200,-0.743224823565686,0.997739559732259,0.254514736166574,4.8,11.6,0.417,2.7,7.3,0.368,2.2,4.3,0.5,1,1.2,0.815,0.5,2.4,2.9,4.8,1.4,0.3,2.2,3.6,13.4
"85","Gabe York",75,190,0.818456600019845,2.44974579176203,3.26820239178187,3.4,12,0.286,1.7,10.3,0.167,1.7,1.7,1,5.1,8.6,0.6,0,3.4,3.4,6.9,3.4,1.7,1.7,6.9,13.7
"86","Garrett Temple",77,195,-2.98990944671474,-0.410226617543482,-3.40013606425822,3.6,9.7,0.376,1.9,6.1,0.319,1.7,3.6,0.473,0.9,1.3,0.683,1,3.7,4.7,2.4,1.4,0.8,1.4,2.7,10.1
"87","Garrison Mathews",77,215,1.09675030681662,1.91855633531729,3.01530664213391,3.9,9.7,0.399,2.9,8.1,0.36,0.9,1.6,0.6,3,3.8,0.794,0.7,3.3,4,1.3,1.2,0.5,0.9,3.5,13.7
"88","Gary Payton II",75,195,0.950140882766176,4.267913286659,5.21805416942517,6.1,9.9,0.616,1.2,3.5,0.358,4.9,6.5,0.754,1,1.7,0.603,2.1,5.1,7.1,1.8,2.8,0.6,1.2,3.8,14.5
"89","Gary Trent Jr.",77,209,1.3868538657175,-0.872217626866771,0.514636238850727,6.6,16,0.414,3.1,8,0.383,3.5,8,0.445,2.6,3,0.853,0.4,2.4,2.8,2.1,1.8,0.3,1.1,2.1,18.9
