"","player_name","player_height_inches","player_weight","mp","raptor_offense","raptor_defense","raptor_total","POS","AGE","TM","G","GS","MP","FG","FGA","FG_pct","FG3","FGA3","FG3_pct","FG2","FGA2","FT","FTA","FT_pct","ORB","DRB","TRB","AST","STL","BLK","TOV","Fouls","PTS"
"1","Aaron Gordon",80,235,2428,0.467081669562564,-0.456370925933087,0.0107107436294762,"PF",26,"DEN",75,75,2376,6.6,12.6,0.52,1.3,3.9,0.335,5.3,0.605,2.6,3.5,0.743,1.9,4.8,6.7,2.8,0.7,0.7,2,2.2,17.1
"2","Aaron Wiggins",76,190,1209,-1.81458479820945,-1.62058052910572,-3.43516532731517,"SG",23,"OKC",50,35,1209,4.6,10,0.463,1.3,4.1,0.304,3.4,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4
"3","Admiral Schofield",77,241,469,-3.17750243247832,-0.958183184706559,-4.13568561718488,"SF",24,"ORL",38,1,469,4.1,9.9,0.419,2,6.1,0.329,2.1,0.56,0.9,1.2,0.8,1.3,5.5,6.8,1.9,0.3,0.4,1.6,4.5,11.2
"4","Aleksej Pokusevski",84,190,1233,-2.89556425044952,-0.130990137383006,-3.02655438783253,"PF",20,"OKC",61,12,1233,5.4,13.3,0.408,1.7,5.8,0.289,3.8,0.498,1,1.5,0.7,2.1,7.2,9.3,3.8,1.1,1.1,2.7,2.6,13.5
"5","Alex Len",84,250,620,-4.09395357580904,-1.32155001314157,-5.41550358895062,"C",28,"SAC",39,10,620,5.5,10.2,0.534,0.3,1.2,0.286,5.1,0.568,2.4,3.7,0.651,3,6.3,9.3,2.6,0.8,1.5,2.5,5.8,13.6
"6","Alfonzo McKinnie",79,215,206,-3.42859158132813,-8.07601249550692,-11.5046040768351,"SF",29,"CHI",17,3,206,4.2,10.7,0.393,1.6,4.7,0.333,2.6,0.441,0.3,1.4,0.25,2.3,3.5,5.8,0.9,0.3,0.5,1.2,4.5,10.3
"7","Alize Johnson",80,212,167,-2.67541248002304,-6.38213522991174,-9.05754770993478,"PF",25,"TOT",23,0,167,3.7,8.4,0.436,0,0.9,0,3.7,0.486,1.5,2.6,0.583,6,7.1,13.1,1.9,1.1,0,2.6,3.9,8.8
"8","Andre Iguodala",78,215,616,-0.404504793930042,5.24764828061054,4.8431434866805,"SF",38,"GSW",31,0,603,2.7,7.2,0.38,1,4.4,0.23,1.7,0.617,0.9,1.2,0.75,1.3,4.7,6,6.8,1.6,1.3,1.7,2,7.4
"9","Andrew Wiggins",79,197,2389,-0.215346058004749,1.81578397905629,1.60043792105154,"SF",26,"GSW",73,73,2329,7.3,15.8,0.466,2.4,6.2,0.393,4.9,0.513,2.3,3.6,0.634,1.3,3.7,5,2.5,1.2,0.8,1.7,2.4,19.4
"10","Anthony Gill",79,230,463,0.41952389846168,-0.758417510039157,-0.338893611577477,"PF",29,"WAS",44,0,463,4.8,8.5,0.569,1.1,2,0.538,3.7,0.578,3.3,4,0.808,2.6,4,6.6,2.1,0.4,0.9,1.4,4.5,14
"11","Anthony Lamb",78,227,8,-6.8658288495079,4.21303400394733,-2.65279484556057,"SF",24,"SAS",2,0,8,0,9,0,0,9,0,0,NA,0,0,NA,0,4.5,4.5,9,0,0,0,0,0
"12","Arnoldas Kulboka",82,209,5,-12.9849576804083,-28.7685085899307,-41.753466270339,"SF",24,"CHO",2,0,5,0,7.2,0,0,7.2,0,0,NA,0,0,NA,0,0,0,0,0,0,0,7.2,0
"13","Bam Adebayo",81,255,1853,-0.334639522837876,4.20033371369012,3.86569419085225,"C",24,"MIA",56,56,1825,8,14.4,0.557,0,0.1,0,8,0.562,5,6.7,0.753,2.7,8.4,11.1,3.7,1.6,0.9,2.9,3.4,21.1
"14","Ben McLemore",75,195,1285,-1.62433248764401,-3.31078843188563,-4.93512091952964,"SG",28,"POR",64,6,1285,6.1,15.1,0.401,4.2,11.7,0.362,1.8,0.533,2,2.5,0.818,0.3,2.5,2.9,1.7,1.1,0.3,1.5,2.9,18.4
"15","Bobby Portis",82,250,2051,0.773725606362625,1.00140186626638,1.775127472629,"C",26,"MIL",72,59,2028,7.4,15.5,0.479,2.4,6,0.393,5,0.533,1.5,2,0.752,3.2,8.5,11.7,1.5,0.9,0.9,1.6,3.1,18.7
"16","Bones Hyland",74,169,1344,2.39078021969653,-1.34977929417033,1.0410009255262,"PG",21,"DEN",69,4,1310,6.3,15.7,0.403,3.6,9.8,0.366,2.7,0.465,2.9,3.4,0.856,0.4,4.8,5.2,5.2,1.1,0.5,2.4,4.2,19.2
"17","Brad Wanamaker",75,210,320,-3.32264671499726,-2.38227359760506,-5.70492031260232,"PG",32,"TOT",23,2,320,3.2,8.7,0.364,0.5,1.9,0.235,2.7,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
"18","Bradley Beal",76,207,1439,1.08443544355524,0.712008097137407,1.79644354069264,"SG",28,"WAS",40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,0.508,4.2,5.1,0.833,1,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
"19","Brandon Goodwin",72,180,502,-1.69619836905963,-0.0612893105204922,-1.75748767958012,"PG",26,"CLE",36,5,502,4.6,11,0.416,1.4,3.9,0.345,3.2,0.455,1.7,2.7,0.632,1,3.8,4.8,6.5,1.8,0.1,2.6,2.8,12.3
"20","Brandon Ingram",80,190,1908,1.18376851117256,-1.35372024053185,-0.169951729359292,"SF",24,"NOP",55,55,1869,8.7,18.9,0.461,1.4,4.4,0.327,7.3,0.501,5.1,6.2,0.826,0.7,5.5,6.2,5.9,0.7,0.5,2.9,2.3,24
"21","Brandon Knight",74,182,65,-1.58547521542188,-0.239452768262588,-1.82492798368447,"PG",30,"DAL",5,0,65,5.5,13.8,0.4,2.2,9.4,0.235,3.3,0.75,4.4,4.4,1,0,4.4,4.4,4.4,0.6,0,2.2,2.8,17.7
"22","Brandon Williams",74,190,640,-2.82956406647378,-1.82201061130139,-4.65157467777517,"PG",22,"POR",24,16,640,5.9,15.9,0.372,1.7,6,0.292,4.2,0.42,3.8,5.5,0.701,1.1,3.1,4.2,5.3,1.4,0.6,3.3,2.9,17.4
"23","Braxton Key",80,225,197,-2.83196469627894,5.38822085790503,2.5562561616261,"SF",24,"TOT",11,0,197,6,13.2,0.458,1.1,3.8,0.286,4.9,0.529,1.3,2.4,0.538,2.4,6.8,9.1,2,1.8,2,2,4.8,14.4
"24","Brodric Thomas",77,185,60,0.740595127946028,-3.59854952530739,-2.85795439736136,"SG",25,"BOS",12,0,60,4.8,10.8,0.444,1.2,5.4,0.222,3.6,0.667,1.8,3,0.6,1.2,4.8,6,6.6,0.6,0.6,3.6,4.2,12.6
"25","Brook Lopez",84,282,330,-2.05607586695048,3.92052715789827,1.86445129094779,"C",33,"MIL",13,11,298,7.4,15.8,0.466,2.3,6.4,0.358,5.1,0.538,2.4,2.8,0.87,2.3,4.1,6.4,0.7,1,1.8,1.4,4.1,19.4
"26","CJ McCollum",75,190,2188,3.29801951480315,-0.930594105121981,2.36742540968117,"SG",30,"TOT",62,62,2145,9,19.5,0.46,3.1,7.9,0.388,5.9,0.509,1.9,2.9,0.682,0.9,3.6,4.5,5.3,1.2,0.4,2.1,2,23
"27","Caleb Martin",77,205,1377,0.0047459833632966,2.37417349540712,2.37891947877042,"SF",26,"MIA",60,12,1372,5.5,10.8,0.507,1.7,4.1,0.413,3.8,0.565,1.9,2.4,0.763,1.8,4.2,6,1.7,1.5,0.8,1.4,2.7,14.5
"28","Cam Thomas",75,210,1176,-1.73209653510429,-2.58482594418142,-4.31692247928572,"SG",20,"BRK",67,2,1176,6.7,15.4,0.433,1.4,5.3,0.27,5.2,0.52,2.7,3.2,0.829,0.5,4.4,4.9,2.4,1,0.2,1.7,2,17.4
"29","Cameron Johnson",80,210,1753,0.948990295892678,2.0577800771121,3.00677037300478,"PF",25,"PHO",66,16,1730,5.8,12.6,0.46,3.5,8.1,0.425,2.4,0.523,2,2.4,0.86,0.9,4.8,5.7,2.1,1.2,0.3,1,2.4,17.1
"30","Cameron McGriff",79,220,46,6.20020845083239,-3.80410990542683,2.39609854540556,"SF",24,"POR",3,0,46,3.9,11,0.357,1.6,4.7,0.333,2.3,0.375,1.6,1.6,1,4.7,7,11.7,2.3,0,0.8,0,5.5,11
"31","Cameron Oliver",80,239,43,2.21520091599831,-4.76872323081656,-2.55352231481826,"SF",25,"ATL",2,0,43,8.4,12.6,0.667,0.8,2.5,0.333,7.5,0.75,1.7,2.5,0.667,1.7,3.3,5,2.5,0.8,0.8,0,4.2,19.3
"32","Cameron Payne",73,183,1295,-0.0730952319937627,0.939316030179919,0.866220798186157,"PG",27,"PHO",58,12,1278,6.8,16.5,0.409,2,5.9,0.336,4.8,0.449,2.1,2.5,0.843,0.7,4.3,4.9,7.9,1.1,0.5,2.9,3.4,17.6
"33","Caris LeVert",78,205,1781,0.978473696965108,-1.84933794438009,-0.870864247414982,"SG",27,"TOT",58,49,1781,7.7,17.3,0.444,1.7,5.2,0.32,6,0.497,3,3.9,0.756,0.9,3.5,4.3,5,1,0.5,2.2,2.6,19.9
"34","Carlik Jones",72,174,23,-13.1526948066814,4.69647094773291,-8.45622385894852,"PG",24,"TOT",5,0,23,1.6,14.1,0.111,0,1.6,0,1.6,0.125,3.1,3.1,1,1.6,3.1,4.7,7.8,1.6,0,4.7,0,6.3
"35","Carmelo Anthony",79,238,1793,0.11041727246612,-1.8657219583161,-1.75530468584998,"PF",37,"LAL",69,3,1793,6.4,14.5,0.441,3,8,0.375,3.4,0.521,2.7,3.2,0.83,1.2,4.5,5.8,1.4,0.9,1,1.2,3.3,18.5
"36","Cassius Winston",73,185,39,-2.7367149283905,-3.68742513059777,-6.42414005898827,"PG",23,"WAS",7,0,39,3.7,10.2,0.364,1.8,5.5,0.333,1.8,0.4,3.7,3.7,1,0,0.9,0.9,6.5,0,0,2.8,8.3,12.9
"37","Cat Barber",73,173,13,-12.2932343561816,1.71046653363899,-10.5827678225426,"PG",27,"ATL",3,0,13,0,11.1,0,0,0,NA,0,0,0,11.1,0,2.8,5.5,8.3,8.3,0,0,2.8,2.8,0
"38","Cedi Osman",79,230,1462,-0.660389208310416,-1.28356262300992,-1.94395183132034,"SF",26,"CLE",66,3,1462,6.1,14.1,0.432,3.2,8.8,0.357,2.9,0.559,2.1,3.2,0.664,0.6,3,3.6,3.3,1.3,0.2,1.6,3.1,17.5
"39","Chandler Hutchison",78,210,22,-8.694770433874,-7.76595726730681,-16.4607277011808,"SF",25,"PHO",6,0,22,1.6,3.3,0.5,0,0,NA,1.6,0.5,3.3,3.3,1,0,8.2,8.2,3.3,0,0,6.5,1.6,6.5
"40","Charles Bassey",81,230,168,-2.46864382258793,2.65023054267887,0.181586720090936,"PF",21,"PHI",23,0,168,6.4,10.1,0.638,0,0.9,0,6.4,0.698,1.9,2.6,0.75,4.7,8.6,13.3,1.5,1.1,3.6,1.7,6.9,14.8
"41","Chris Paul",72,175,2174,4.41839990984512,-0.317061819940851,4.10133808990427,"PG",36,"PHO",65,65,2139,6.1,12.4,0.493,1.1,3.3,0.317,5,0.559,2.8,3.4,0.837,0.4,4.4,4.8,11.8,2,0.3,2.6,2.3,16.1
"42","Christian Wood",81,214,2094,-0.778040110509276,-1.32740202851952,-2.1054421390288,"C",26,"HOU",68,67,2094,7.6,15.1,0.501,2.3,5.8,0.39,5.3,0.57,3.6,5.7,0.623,1.9,9.9,11.8,2.7,0.9,1.1,2.2,2.9,20.9
"43","Chuma Okeke",78,229,1749,-3.58231377185255,0.927948713366547,-2.654365058486,"PF",23,"ORL",70,20,1749,4.4,11.8,0.376,2.4,7.6,0.318,2,0.48,1.1,1.3,0.846,1,6.2,7.1,2.4,2,0.9,1.2,2,12.5
"44","Coby White",76,195,1698,0.637648979566151,-2.34790817422938,-1.71025919466323,"PG",21,"CHI",61,17,1675,6,13.8,0.433,2.9,7.6,0.385,3.1,0.491,1.7,2,0.857,0.4,3.5,3.9,3.8,0.6,0.2,1.5,2.9,16.6
"45","Cody Martin",78,205,1866,0.317367244028911,1.03677366998743,1.35414091401634,"SF",26,"CHO",71,11,1866,3.9,8.2,0.482,1.2,3.1,0.384,2.8,0.542,1.4,2.1,0.701,1.6,3.9,5.5,3.5,1.7,0.6,1.2,2.2,10.5
"46","Cody Zeller",83,240,355,-0.255822282716726,-3.29863664701953,-3.55445892973626,"C",29,"POR",27,0,355,5.2,9.1,0.567,0,0.4,0,5.2,0.593,3.9,5,0.776,5.1,7.6,12.7,2.2,0.8,0.6,1.9,5.7,14.2
"47","Cole Anthony",75,185,2059,-0.0514484874086768,-1.84733991651875,-1.89878840392742,"PG",21,"ORL",65,65,2059,6.2,15.9,0.391,2.3,6.8,0.338,3.9,0.432,3.8,4.4,0.854,0.6,5.5,6.1,6.5,0.8,0.3,3,3,18.6
"48","Collin Sexton",73,190,316,-2.88333470834168,-0.316563490172052,-3.19989819851374,"SG",23,"CLE",11,11,316,7.7,17.2,0.45,1.3,5.1,0.244,6.5,0.538,3.3,4.4,0.744,1.5,2.6,4.1,2.6,1.1,0,3.5,2.8,20.1
"49","Corey Kispert",78,224,1801,0.0451617193188177,-2.09879931791848,-2.05363759859967,"SF",22,"WAS",77,36,1801,4.7,10.3,0.455,2.2,6.4,0.35,2.4,0.629,1.1,1.2,0.871,1.1,3.1,4.2,1.7,0.7,0.4,1,1.9,12.7
"50","Cory Joseph",75,200,1600,-0.384883988788836,0.0416535520826753,-0.34323043670616,"PG",30,"DET",65,39,1600,4,9,0.445,1.5,3.5,0.414,2.5,0.465,2.3,2.5,0.885,0.7,3.3,3.9,5.3,0.9,0.4,1.9,3.3,11.7
"51","D.J. Augustin",71,183,883,-1.53222410014479,-5.75604766182543,-7.28827176197022,"PG",34,"TOT",55,2,883,3.8,9.1,0.423,2.8,6.7,0.415,1.1,0.448,1.5,1.8,0.884,0.4,2.3,2.8,4.4,0.7,0,2.3,1.6,12
"52","D.J. Wilson",82,231,54,1.36016824696613,-0.532312239342516,0.82785600762361,"PF",25,"TOR",4,1,54,7.3,10,0.733,0,1.3,0,7.3,0.846,5.3,6.7,0.8,0.7,10,10.7,3.3,3.3,0.7,1.3,4,20
"53","DaQuan Jeffries",77,222,9,-1.5885502555622,1.96548610513152,0.376935849569326,"SG",24,"MEM",3,0,9,4,8,0.5,0,4,0,4,1,0,0,NA,0,8,8,4,0,0,0,4,8
"54","Dakota Mathias",76,200,16,-5.40805406849662,-3.33838361074036,-8.74643767923697,"SG",26,"MEM",6,0,16,4.5,13.5,0.333,4.5,13.5,0.333,0,NA,0,0,NA,0,4.5,4.5,2.3,2.3,0,0,2.3,13.5
"55","Dalano Banton",79,204,699,-2.9393286921628,0.223889484944549,-2.71543920721825,"SF",22,"TOR",64,1,696,4.3,10.4,0.411,0.7,2.6,0.255,3.6,0.464,1.3,2.3,0.591,2,4.4,6.4,5.1,1.4,0.5,2.7,3.5,10.6
"56","Damian Jones",83,245,1017,-0.983801756486044,-1.34688713910141,-2.33068889558746,"C",26,"SAC",56,15,1017,6.2,9.4,0.658,0.4,1,0.345,5.8,0.696,3.3,4.6,0.718,2.7,6.1,8.7,2.4,0.9,1.7,2.1,4.6,16.1
"57","Damian Lillard",74,195,1056,4.25676904397129,-1.525217987788,2.73155105618329,"PG",31,"POR",29,29,1056,7.6,18.8,0.402,3.1,9.7,0.324,4.4,0.485,5.4,6.2,0.878,0.4,3.6,4.1,7.2,0.6,0.4,2.8,1.3,23.7
"58","Damion Lee",77,210,1264,-2.18330534582906,-0.212378021350967,-2.39568336718003,"SG",29,"GSW",63,5,1256,4.8,11,0.441,1.8,5.4,0.337,3,0.541,1.9,2.1,0.88,0.8,5,5.8,1.8,1.1,0.2,1.1,2.7,13.4
"59","Daniel Gafford",81,234,1444,0.386095753318333,-0.628429150726461,-0.242333397408128,"C",23,"WAS",72,53,1444,7.1,10.2,0.693,0,0,0,7.1,0.695,2.7,3.8,0.699,3.9,6.3,10.1,1.7,0.7,2.5,1.6,4.2,16.9
"60","Daniel Oturu",80,240,27,-3.72732801610519,-5.52385896035166,-9.25118697645686,"C",22,"TOR",3,0,27,4,8,0.5,0,1.3,0,4,0.6,4,6.7,0.6,1.3,5.3,6.7,0,0,2.7,0,1.3,12
"61","Daniel Theis",81,245,997,-3.58708450174436,0.154300349306096,-3.43278415243826,"C",29,"TOT",47,27,977,5.6,10.7,0.519,1.2,3.9,0.308,4.3,0.641,1.8,2.7,0.681,2.2,6.2,8.4,1.5,0.7,1.1,1.7,4.1,14.1
"62","Danilo Gallinari",82,236,1701,1.19098742652453,-2.03631003460659,-0.845322608082061,"PF",33,"ATL",66,18,1672,5.6,12.9,0.434,2.4,6.3,0.381,3.2,0.485,3,3.4,0.904,0.8,5.9,6.6,2.2,0.6,0.3,0.8,2,16.6
"63","Darius Bazley",80,208,1924,-3.648333876702,-0.748259932034863,-4.39659380873687,"PF",21,"OKC",69,53,1924,5.1,12.1,0.422,1.5,5,0.297,3.6,0.511,2.2,3.2,0.688,1.3,6.8,8.2,1.8,1.1,1.3,1.7,1.3,13.9
"64","Darius Garland",73,192,2430,4.79885477814603,-0.201863990305623,4.59699078784041,"PG",22,"CLE",68,68,2430,8,17.4,0.462,2.6,6.7,0.383,5.5,0.512,3.2,3.6,0.892,0.6,2.7,3.3,8.6,1.3,0.1,3.7,1.7,21.8
"65","David Johnson",76,203,2,-4.60901366698718,11.2161121298588,6.6070984628716,"SG",20,"TOR",2,0,2,0,18,0,0,18,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
"66","DeAndre Jordan",83,265,622,-3.88340998885256,-1.66747811862567,-5.55088810747824,"C",33,"TOT",48,20,622,5.3,8.3,0.643,0,0,NA,5.3,0.643,1.3,2.3,0.55,4.8,10.5,15.3,1.2,0.7,2,2.1,4.1,11.9
"67","DeJon Jarreau",77,185,1,9.31896659164658,6.25947704683509,15.5784436384817,"SG",24,"IND",1,0,1,0,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
"68","Dean Wade",81,228,980,-1.1485951531164,1.71472712952006,0.56613197640365,"PF",25,"CLE",51,28,980,3.6,8,0.456,1.9,5.2,0.359,1.8,0.64,0.7,1.1,0.667,1.1,4.4,5.5,1.9,1.1,0.3,0.6,3.2,9.9
"69","Deandre Ayton",83,250,1747,-0.641570740191522,1.24462156030843,0.603050820116906,"C",23,"PHO",58,58,1713,9.3,14.6,0.634,0.1,0.4,0.368,9.1,0.642,2.2,3,0.746,3.1,9.3,12.5,1.8,0.8,0.8,1.9,3,21
"70","Delon Wright",77,185,1473,-0.809675659077655,2.64647364390453,1.83679798482688,"SG",29,"ATL",77,8,1452,3,6.7,0.454,1.1,2.9,0.379,1.9,0.51,1.3,1.6,0.857,1.2,4.2,5.5,4.7,2.3,0.5,1.1,1.4,8.5
"71","Deni Avdija",81,210,1984,-0.945957956863636,1.98349596961039,1.03753801274676,"SF",21,"WAS",82,8,1984,4.5,10.5,0.432,1.5,4.7,0.317,3,0.525,1.9,2.5,0.757,0.9,6.8,7.7,3,1.1,0.8,1.6,3.4,12.4
"72","Denzel Valentine",76,220,222,-2.59401465539349,0.547796208034189,-2.0462184473593,"SG",28,"TOT",24,0,222,4.1,10.7,0.379,3.1,7.6,0.404,1,0.316,0,0,NA,1.5,5.4,6.8,1.8,1.3,0,1.9,3.2,11.2
"73","Derrick Jones Jr.",78,210,909,-0.291700175733224,0.638334624158507,0.346634448425284,"PF",24,"CHI",51,8,899,4.2,7.8,0.538,0.8,2.4,0.328,3.4,0.634,2.2,2.8,0.8,2.4,4.4,6.8,1.2,1,1.3,1.2,4.2,11.5
"74","Derrick White",76,190,2227,0.826929498961808,3.0272457871378,3.8541752860996,"SG",27,"TOT",75,52,2199,5.5,13.1,0.421,1.9,6,0.312,3.6,0.515,3.3,3.8,0.864,0.6,3.7,4.3,6,1,0.9,1.9,2.8,16.2
"75","Desmond Bane",77,215,2299,2.71749187441256,0.64845420581565,3.36594608022821,"SF",23,"MEM",76,76,2266,8.1,17.5,0.461,3.6,8.3,0.436,4.4,0.484,2.2,2.5,0.903,0.7,4.6,5.3,3.3,1.5,0.5,1.8,3.1,22
